,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,R Sharma,104,96,2633,118,32.1,1905,138.21,4,19,6,234,120,1
1,Q Kock,38,38,1018,79,30.84,787,129.35,0,4,3,117,32,0
2,S Yadav,56,49,1813,71,33.43,1225,148.0,0,7,4,79,47,0
3,I Kishan,56,52,1872,62,36.95,1404,133.33,0,0,5,84,40,0
4,K Pollard,68,58,1058,68,23.0,819,129.18,0,4,1,69,61,1
5,H Pandya,40,25,310,33,16.31,210,147.61,0,0,2,18,19,1
6,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
7,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,1
8,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,0
9,M Pandey,32,27,587,79,39.13,478,122.8,0,2,2,40,16,0
10,D Hooda,47,42,1344,67,33.09,966,139.13,0,3,6,78,51,1
11,Y Pathan,40,34,1326,43,25.88,850,156.0,0,1,3,84,55,0
