,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,S Watson,40,35,1085,76,36.87,945,114.81,0,0,5,94,39,1
1,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
2,S Raina,78,66,1605,101,29.18,1190,134.87,1,5,3,145,58,0
3,A Rayudu,48,41,1312,74,40.18,1148,114.29,0,4,3,87,52,1
4,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,0
5,S Billings,26,23,348,87,17.4,255,136.47,0,2,1,33,11,0
6,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,1
7,I Tahir,38,4,19,9,19.0,18,105.55,0,0,0,1,1,1
8,D Warner,76,76,2079,100,30.57,1476,140.85,1,15,5,203,86,0
9,J Bairstow,34,29,603,68,26.21,450,134.0,0,3,2,56,25,1
10,K Williamson,57,55,1505,73,31.35,1236,121.76,0,9,2,158,26,0
11,V Shankar,9,4,101,43,25.25,73,138.35,0,0,0,11,5,1
12,D Hooda,47,42,1344,67,33.09,966,139.13,0,3,6,78,51,0
13,Y Pathan,40,34,1326,43,25.88,850,156.0,0,1,3,84,55,0
