,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,0
1,C Gayle,58,54,1627,117,32.54,1139,142.84,2,13,3,138,105,1
2,M Agarwal,34,27,999,70,29.82,783,127.59,0,7,9,78,48,0
3,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
4,M Singh,12,12,255,42,23.18,222,114.86,0,0,0,15,5,1
5,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
6,G Viljoen,34,28,868,51,29.83,672,129.17,0,0,8,78,42,1
7,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,1
8,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
9,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
10,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
11,C Ingram,49,42,1470,61,24.28,966,152.17,0,1,0,80,53,0
12,S Rutherford,3,3,17,9,5.66,23,73.91,0,0,0,1,0,0
13,A Mishra,37,32,1120,56,38.87,800,140.0,0,0,6,83,41,0
14,I Sharma,34,28,924,66,38.58,700,132.0,0,1,0,92,40,0
15,S Lamichhane,18,8,23,9,5.75,29,79.31,0,0,1,1,0,1
